word_id,display_form,lemma_form,lemma_norm,reading,pos_major,pos_bucket,lexeme_class,pos_detail,content_word_class,normalization_group_id,variant_counts,reading_variants,pos_detail_variants,total_count_final,solving_count_final,listening_count_final,listening_question_count_final,listening_transcript_text_count_final,listening_asr_approved_count_final,paper_count,solving_paper_count,listening_paper_count,first_year,last_year,years_present,surface_variant_count,reading_variant_count,source_confidence_min,source_confidence_avg,token_confidence_min,token_confidence_avg,has_asr_occurrence,has_ocr_occurrence,sense_ambiguous
1a7d373fb13bd8cf05deb54e,の,の,の,の,助詞,particle,particle,助詞|格助詞|*|*|*|*,function,の,"{""の"": 374, ""ん"": 1}","{""の"": 374, ""ん"": 1}","{""助詞|格助詞|*|*|*|*"": 343, ""助詞|準体助詞|*|*|*|*"": 31, ""助詞|終助詞|*|*|*|*"": 1}",375,0,375,375,0,0,21,0,21,2006,2025,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,2,2,,,0.9,0.9,False,False,False
bd0df4a4d4c21488a5f07c2d,を,を,を,を,助詞,particle,particle,助詞|格助詞|*|*|*|*,function,を,"{""を"": 242}","{""を"": 242}","{""助詞|格助詞|*|*|*|*"": 242}",242,0,242,242,0,0,21,0,21,2006,2025,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,1,,,0.9,0.9,False,False,False
35550afb1ca89db33e0543b1,ます,ます,ます,ます,助動詞,auxiliary,auxiliary:aux_sensitive,助動詞|*|*|*|助動詞-マス|終止形-一般,function,ます,"{""まし"": 45, ""ます"": 130, ""ませ"": 12}","{""まし"": 45, ""ます"": 130, ""ませ"": 12}","{""助動詞|*|*|*|助動詞-マス|未然形-一般"": 12, ""助動詞|*|*|*|助動詞-マス|終止形-一般"": 130, ""助動詞|*|*|*|助動詞-マス|連用形-一般"": 45}",187,0,187,187,0,0,21,0,21,2006,2025,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,3,3,,,0.9,0.9,False,False,False
340ea5148a239ebe5f04b7a9,は,は,は,は,助詞,particle,particle,助詞|係助詞|*|*|*|*,function,は,"{""は"": 185}","{""は"": 185}","{""助詞|係助詞|*|*|*|*"": 185}",185,0,185,185,0,0,21,0,21,2006,2025,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,1,,,0.9,0.9,False,False,False
b74666b0d04cf261a8b1cb56,に,に,に,に,助詞,particle,particle,助詞|格助詞|*|*|*|*,function,に,"{""に"": 175}","{""に"": 175}","{""助詞|格助詞|*|*|*|*"": 175}",175,0,175,175,0,0,21,0,21,2006,2025,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,1,,,0.9,0.9,False,False,False
9eebdbdd7c5e25417a8e8d33,し,為る,為る,し,動詞,verb,verb,動詞|非自立可能|*|*|サ行変格|連用形-一般,content,為る,"{""し"": 119, ""しよう"": 1, ""する"": 50, ""すれ"": 1}","{""し"": 119, ""しよう"": 1, ""する"": 50, ""すれ"": 1}","{""動詞|非自立可能|*|*|サ行変格|仮定形-一般"": 1, ""動詞|非自立可能|*|*|サ行変格|意志推量形"": 1, ""動詞|非自立可能|*|*|サ行変格|未然形-一般"": 5, ""動詞|非自立可能|*|*|サ行変格|終止形-一般"": 34, ""動詞|非自立可能|*|*|サ行変格|連体形-一般"": 16, ""動詞|非自立可能|*|*|サ行変格|連用形-一般"": 114}",171,0,171,171,0,0,21,0,21,2006,2025,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,4,4,,,0.9,0.9,False,False,False
4308ad0cc72a0b9a5567c674,か,か,か,か,助詞,particle,particle,助詞|終助詞|*|*|*|*,function,か,"{""か"": 165}","{""か"": 165}","{""助詞|副助詞|*|*|*|*"": 3, ""助詞|終助詞|*|*|*|*"": 162}",165,0,165,165,0,0,21,0,21,2006,2025,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,1,,,0.9,0.9,False,False,False
0a10079262c06fb202c0e307,人,人,人,ひと,名詞,noun,noun,名詞|普通名詞|一般|*|*|*,content,人,"{""人"": 156}","{""ひと"": 156}","{""名詞|普通名詞|一般|*|*|*"": 156}",156,0,156,156,0,0,21,0,21,2006,2025,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,1,,,0.9,0.9,False,False,False
1e404d6ef77b2e399dcac9ea,て,て,て,て,助詞,particle,particle,助詞|接続助詞|*|*|*|*,function,て,"{""て"": 152}","{""て"": 152}","{""助詞|接続助詞|*|*|*|*"": 152}",152,0,152,152,0,0,21,0,21,2006,2025,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,1,1,,,0.9,0.9,False,False,False
8dfffbff2fed4e8b3090bbb8,た,た,た,た,助動詞,auxiliary,auxiliary,助動詞|*|*|*|助動詞-タ|終止形-一般,function,た,"{""た"": 127, ""たら"": 3, ""だ"": 3}","{""た"": 127, ""たら"": 3, ""だ"": 3}","{""助動詞|*|*|*|助動詞-タ|仮定形-一般"": 3, ""助動詞|*|*|*|助動詞-タ|終止形-一般"": 102, ""助動詞|*|*|*|助動詞-タ|連体形-一般"": 28}",133,0,133,133,0,0,21,0,21,2006,2025,2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,3,3,,,0.9,0.9,False,False,False
