word_id,paper_id,unit_ids,canonical_section_ids,solving_count_final,listening_question_count_final,listening_transcript_text_count_final,listening_asr_approved_count_final,total_count_final,domain_presence,paper_solving_status,paper_listening_question_status,paper_listening_heard_status,paper_all_status,has_asr_occurrence,has_ocr_occurrence,asr_quality_flags
1a7d373fb13bd8cf05deb54e,gaokao-ja-1998-national-standard,language_use_q01,b90d83f7744afe933040a177,122,0,0,0,122,solving,final,not_applicable,not_applicable,final,False,False,
a28c9bd57bfd06cb89b8abe3,gaokao-ja-1998-national-standard,language_use_q01,b90d83f7744afe933040a177,92,0,0,0,92,solving,final,not_applicable,not_applicable,final,False,False,
340ea5148a239ebe5f04b7a9,gaokao-ja-1998-national-standard,language_use_q01,b90d83f7744afe933040a177,81,0,0,0,81,solving,final,not_applicable,not_applicable,final,False,False,
b74666b0d04cf261a8b1cb56,gaokao-ja-1998-national-standard,language_use_q01,b90d83f7744afe933040a177,75,0,0,0,75,solving,final,not_applicable,not_applicable,final,False,False,
8dfffbff2fed4e8b3090bbb8,gaokao-ja-1998-national-standard,language_use_q01,b90d83f7744afe933040a177,71,0,0,0,71,solving,final,not_applicable,not_applicable,final,False,False,
1e404d6ef77b2e399dcac9ea,gaokao-ja-1998-national-standard,language_use_q01,b90d83f7744afe933040a177,70,0,0,0,70,solving,final,not_applicable,not_applicable,final,False,False,
bd0df4a4d4c21488a5f07c2d,gaokao-ja-1998-national-standard,language_use_q01,b90d83f7744afe933040a177,58,0,0,0,58,solving,final,not_applicable,not_applicable,final,False,False,
326d90f1b8fec3a5ef603e0f,gaokao-ja-1998-national-standard,language_use_q01,b90d83f7744afe933040a177,54,0,0,0,54,solving,final,not_applicable,not_applicable,final,False,False,
e0d44518d86b6b676a03e44d,gaokao-ja-1998-national-standard,language_use_q01,b90d83f7744afe933040a177,44,0,0,0,44,solving,final,not_applicable,not_applicable,final,False,False,
9eebdbdd7c5e25417a8e8d33,gaokao-ja-1998-national-standard,language_use_q01,b90d83f7744afe933040a177,40,0,0,0,40,solving,final,not_applicable,not_applicable,final,False,False,
8042dc832002f3ea3432bea1,gaokao-ja-1998-national-standard,language_use_q01,b90d83f7744afe933040a177,36,0,0,0,36,solving,final,not_applicable,not_applicable,final,False,False,
